claim_id,short_name,source_audits,evidence_class,mathematical_status,novelty_status,priority,frozen_owner,combinatorics_decision,combinatorics_section,combinatorics_form,foundational_decision,foundational_section,foundational_form,allowed_claim,forbidden_overclaim,physical_status
MF-R058,Translation-covariant decomposable quasi-arithmetic means reduce to arithmetic or exponential families,A38.1,CLASSICAL_CHARACTERIZATION + NUMERICAL_CHECKS,CLASSICAL UNDER REGULARITY ASSUMPTIONS,CLASSICAL KOLMOGOROV-NAGUMO/ACZEL RESULT,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,8. Observable-Relative Coarse-Graining,ATTRIBUTED_CHARACTERIZATION,The audited regular mean class contains two translation-covariant families relevant to the framework.,A new classification theorem or uniqueness of a physical coarse-graining.,MATHEMATICAL BACKGROUND
MF-R059,Q_lambda exactly preserves the exponential kernel under grouping,A38.1,EXACT_SUFFICIENT-STATISTIC IDENTITY,PROVED,ELEMENTARY BUT CENTRAL PROJECT-SPECIFIC CONSEQUENCE,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,8. Observable-Relative Coarse-Graining,EXACT_SUFFICIENCY_IDENTITY,Q_lambda is the exact static message for this declared observable.,The unique coarse variable for every law or a physical thermodynamic potential.,STATIC OPERATIONAL COARSE-GRAINING
MF-R060,Mass plus weighted median is not a closed hierarchical message,A38.1,EXACT_COUNTEREXAMPLE,PROVED,ELEMENTARY PROJECT-SPECIFIC COUNTEREXAMPLE,P2,FOUNDATIONAL_APPENDIX,EXCLUDE,,,APPENDIX,Appendix D,NONDECOMPOSABILITY_COUNTEREXAMPLE,Median is robust but that scalar summary is not hierarchically closed.,No hierarchical quantile sketch or richer summary can exist.,MATHEMATICAL COARSE-GRAINING LIMIT
MF-R061,A micro kernel and partition do not determine a unique macro transition without source occupancy,A38.1,CLASSICAL_MARKOV_AGGREGATION FACT + NUMERICAL WITNESS,PROVED,CLASSICAL KEMENY-SNELL/LUMPABILITY CONSEQUENCE,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,8. Observable-Relative Coarse-Graining,ATTRIBUTED_OCCUPANCY_OBSTRUCTION,Occupancy or a lumpability condition is necessary for a unique macro Markov kernel.,A new discovery of lumpability or proof that pi is a fundamental physical field.,DYNAMIC COARSE-GRAINING REQUIREMENT
MF-R062,Joint flows aggregate exactly when occupancy is supplied,A38.1,EXACT_IDENTITY,PROVED,CLASSICAL CONDITIONAL-FLOW CONSTRUCTION,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,8. Observable-Relative Coarse-Graining,EXACT_FLOW_IDENTITY,Carrying joint flow or occupancy restores exact dynamic aggregation.,"That the physical origin, dynamics, or uniqueness of pi is known.",DYNAMIC OPERATIONAL CONSTRUCTION
MF-R063,There is no observable-independent unique scalar coarse-graining of q,"A34, A38.1",FRAMEWORK_SYNTHESIS,SUPPORTED BY EXACT IDENTITIES AND COUNTEREXAMPLES,ORIGINAL SYNTHESIS; COMPONENTS MOSTLY CLASSICAL,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,8. Observable-Relative Coarse-Graining,FRAMEWORK_PRINCIPLE,A coarse-graining rule must be specified relative to the observable or dynamics it is meant to preserve.,A universal proof that no richer common state representation exists.,FOUNDATIONAL FRAMEWORK PRINCIPLE
MF-R064,"Effective round-trip shortest-path geometry is computational, not yet physical",RZS v10.8-v10.9,DEFINITION + EXACT_TESTS,CONSTRUCTION VERIFIED,PROJECT-SPECIFIC CONSTRUCTION,P0,FUTURE_GEOMETRY,EXCLUDE,,,EXCLUDE_FUTURE_GEOMETRY,,,The construction defines an effective computational geometry up to global scale.,"Physical distance, spacetime interval, calibrated length, or uniqueness.",COMPUTATIONAL GEOMETRY ONLY
MF-R065,Local simplicial consistency did not establish robust Regge curvature,RZS v11.0-v12.0,COMPUTATIONAL_PROTOCOL,NEGATIVE / BLOCKED RESULT,PROJECT-SPECIFIC NEGATIVE RESULT,P0,FUTURE_GEOMETRY,EXCLUDE,,,EXCLUDE_FUTURE_GEOMETRY,,,Robust Regge curvature and promotion to GR remain blocked.,"Emergent gravity, Einstein equations, physical curvature, or successful renormalization.",PHYSICAL CLAIM BLOCKED
MF-R066,Prospective q-topology coherence signature passed its declared v12.9 gates,RZS v12.9,PROSPECTIVE COMPUTATIONAL_TEST,COMPUTATIONALLY DEMONSTRATED FOR DECLARED PROTOCOL,PROJECT-SPECIFIC NUMERICAL RESULT,P1,FUTURE_GEOMETRY,EXCLUDE,,,EXCLUDE_FUTURE_GEOMETRY,,,The specific q-topology coherence signature generalized prospectively within the tested ensemble.,"Physical topology, spacetime emergence, curvature, or experimental validation.",SYNTHETIC DIAGNOSTIC ONLY
MF-R067,"Current minimal architecture is (R,q,mu,K,pi)",A18-A38.1 plus legacy RZS track,FRAMEWORK_SYNTHESIS,CONCEPTUAL ARCHITECTURE; NOT A UNIQUENESS THEOREM,POTENTIALLY ORIGINAL SYNTHESIS,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,9. Provisional Informational Architecture,CENTRAL_SYNTHESIS,"The framework gives a disciplined provisional inventory of information needed for order, measure, transition, and coarse-grained flow.","A proven unique ontology, a final fundamental theory, or derivation of all primitives.",FOUNDATIONAL RESEARCH PROGRAMME
MF-R068,The obstruction map is a framework-level contribution,A18-A38.1,FRAMEWORK_SYNTHESIS,SUPPORTED BY MIXED CLASSICAL AND PROJECT-SPECIFIC RESULTS,ORIGINAL ORGANIZATION; INDIVIDUAL ITEMS HAVE UNEQUAL NOVELTY,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,9. Provisional Informational Architecture,OBSTRUCTION_MAP,The catalogue clarifies which additional structures are logically needed in the current programme.,Presenting every no-go as equally deep or technically novel.,FOUNDATIONAL SYNTHESIS
MF-R069,"No physical spacetime, calibrated metric, gravity, or experimental mapping has been derived",Whole programme,SCIENTIFIC_STATUS / NONCLAIM,ESTABLISHED SCOPE BOUNDARY,NO NOVELTY CLAIM,P0,FOUNDATIONAL,EXCLUDE,,,MAIN,10. Scope and Physical Boundary,MANDATORY_NONCLAIM,The work is a formal pre-categorical research programme with explicit open physical bridges.,"Confirmed fundamental physics, emergent GR, matter, energy, or experimental support.",PHYSICAL CONNECTION OPEN
